ts op_code movie_id status_after duration_after price_after revenue_after
1757469600 1 7001 1 120 220.00 33,000.00
1757469600 1 7002 1 118 220.00 35,200.00
1757469600 1 7003 1 125 220.00 37,400.00
1757469600 1 7004 1 110 200.00 24,000.00
1757469600 1 7005 1 130 230.00 41,400.00
1759255134 2 7005 0 130 230.00 41400.00
1759307844 1 7006 1 183 220.00 0.00
1759307863 1 7006 1 183 220.00 30800.00
1759308369 1 7007 1 160 220.00 0.00
1759308381 1 7007 1 160 220.00 30800.00
1759308402 1 7007 1 160 220.00 40920.00
1759308424 1 7007 1 160 220.00 53240.00
1759412904 2 7001 1 120 220.00 33000.00
1759412927 2 7001 1 120 220.00 33000.00
1759417318 1 7010 1 150 280.00 0.00
1759417385 1 7010 1 150 280.00 28000.00
